code,latitude,longitude,N,size,N_min,N_max
BREVDFL,28.448,-80.782,0.0,2.0,0.097,3.645
BRGMCFL,26.102,-80.141,,15.0,0.032,2.333
BRINDMA,41.666,-70.996,0.0,2.0,0.967,242.548
BRKHOLD,40.383,-76.014,0.0,2.0,0.032,1.516
BROADMT,46.322,-111.515,0.0,2.0,0.065,0.533
BROCRFL,26.034,-80.42,0.0,2.0,0.032,0.067
BROHOMI,42.286,-85.58,,15.0,0.548,1.0
BROJAFL,26.116,-80.142,4.968,2.0,0.032,7.387
BROKSTX,27.248,-98.127,0.871,2.0,0.032,451.903
BROMMNY,42.131,-75.914,45.258,3.5,0.033,48.516
BROWNSD,45.465,-98.486,0.0,2.0,0.065,0.258
BROWNWI,44.523,-87.931,0.226,2.0,0.133,5.333
BRWNSTX,25.908,-97.498,0.0,2.0,0.032,1.0
BRYANGA,32.135,-81.618,0.032,2.0,0.032,0.097
BSAHOLD,41.868,-87.866,12.774,3.5,0.032,207.032
BSCDRTX,32.224,-101.506,0.0,2.0,0.857,0.857
BSCHOLD,32.225,-101.514,0.452,2.0,0.226,19.903
BSCORTX,32.221,-101.508,0.0,2.0,0.065,0.643
BSFLTTX,32.225,-101.528,0.0,2.0,0.033,0.107
BSGDFTX,33.201,-101.373,0.0,2.0,0.536,0.536
BSNTRTX,32.263,-101.493,0.0,2.0,0.033,0.033
BSQUETX,31.93,-97.643,0.0,2.0,0.032,0.032
BSTAYTX,32.79,-96.78,,15.0,0.032,0.75
BSWRRTX,30.561,-97.686,,15.0,0.065,0.387
BTSHOMI,42.969,-85.665,,15.0,0.097,0.1
BTV,43.02,-78.202,793.129,9.0,154.516,845.5
BUFHOLD,42.888,-78.878,0.194,2.0,0.032,9.733
BURLEND,46.797,-100.727,17.742,3.5,0.4,24.5
BURNETX,30.741,-98.253,0.0,2.0,0.032,163.645
BUTLEKS,37.817,-96.862,0.0,2.0,0.129,19.129
BUTLEOH,39.388,-84.556,356.323,6.0,6.033,391.467
BWDGICA,34.063,-118.239,0.0,2.0,0.032,4.645
BWEPATX,31.762,-106.485,0.0,2.0,0.357,155.097
BWMARCA,32.659,-117.11,0.0,2.0,0.067,24.464
BWRGMTX,26.203,-98.23,0.0,2.0,0.033,3.097
BXCHSNY,40.843,-73.911,,15.0,0.032,1.0
CACCJAM,37.892,-120.539,0.0,2.0,0.032,0.161
CACFBAK,35.278,-116.055,0.0,2.0,0.033,0.033
CACFDON,32.585,-116.934,0.0,2.0,0.032,0.129
CACFLEO,39.268,-121.665,0.0,2.0,0.032,0.032
CACFMCF,35.668,-119.229,0.0,2.0,0.033,0.033
CACFMES,35.38,-119.006,360.613,6.0,11.806,385.0
CACHEUT,41.737,-111.866,0.194,2.0,0.194,57.133
CACTYCA,35.152,-117.859,1396.194,12.0,14.194,1396.194
CADCCAL,33.164,-115.493,0.0,2.0,0.3,1.935
CADESVI,34.56,-117.437,459.097,6.0,0.032,462.903
CAIRONW,33.61,-114.901,0.0,2.0,0.032,0.032
CAJUVMN,44.788,-93.593,0.0,2.0,0.032,0.786
CALDWMO,39.642,-94.047,0.0,2.0,8.935,60.433
CALHOMI,42.317,-85.176,195.71,6.0,8.903,232.667
CAMBRPA,40.484,-78.701,66.935,3.5,0.129,121.581
CAMCOWY,44.277,-105.512,0.839,2.0,0.065,1.097
CAMEDAZ,33.027,-111.394,,15.0,0.032,0.467
CAMENCE,35.325,-120.694,0.0,2.0,0.033,0.033
CAMENCW,35.325,-120.694,0.0,2.0,0.032,0.097
CAMERTX,25.908,-97.495,0.0,2.0,0.032,1.0
CARBOPA,40.878,-75.784,0.0,2.0,0.167,0.167
CARBOWY,41.796,-107.223,0.0,2.0,0.033,0.903
CARDFVA,38.112,-77.267,357.71,6.0,76.333,375.3
