code,latitude,longitude,N,size
WMLNDPA,40.305,-79.545,0.129,2.0
WOAKSTX,29.711,-95.401,0.387,2.0
WORCEMD,38.17,-75.376,66.548,3.5
WSTMCCA,33.754,-117.833,0.097,2.0
WVEASTR,39.438,-77.961,0.258,2.0
WVNORTH,39.923,-80.736,0.0,2.0
WVREGWV,38.352,-81.639,0.0,2.0
WVSCENT,38.312,-81.71,10.065,3.5
WYATTRI,41.893,-71.383,0.032,2.0
YAVAPAZ,34.542,-112.466,0.0,2.0
YAVCVAZ,34.611,-111.917,0.032,2.0
YELLOMT,45.755,-108.503,2.194,2.0
YIKIMWA,46.603,-120.508,30.968,3.5
YORCOPA,39.988,-76.664,674.0,9.0
YORCOSC,34.985,-81.204,3.065,2.0
YUBAJCA,39.141,-121.587,189.097,6.0
YUMHOLD,32.656,-114.612,1.129,2.0
