detention_facility_code,name,state,start,end,place,type
MVPNHPA,Penn Highlands Clearfield,PA,179,196,"Clearfield, PA",Medical
PENNISD,Pennington County Jail SD,SD,0,197,"Rapid City, SD",Federal
PENOBME,Penobscot County Jail,ME,0,61,"Bangor, ME",Federal
PCJDCIL,Peoria County Juv Det Center,IL,98,99,"Peoria, IL",Family / Children
PERRYAL,Perry County Corr. Center,AL,0,15,"Uniontown, AL",Non-dedicated
PRYCOAL,Perry County Jail,AL,37,38,"Marion, AL",Other
AZSPPER,Perryville State Prison,AZ,77,168,"Goodyear, AZ",Non-dedicated
BOPPET,Petersburg Fed.Corr.Inst.,VA,168,180,"Hopewell, VA",Other
PHELPNE,Phelps County Jail,NE,0,197,"Holdrege, NE",Federal
PHIHOLD,Phi District Office,PA,0,197,"Philadelphia, PA",Hold
PHILLMT,"Phillips County Jail, MT",MT,18,19,"Malta, MT",Non-dedicated
PHPMHGA,Phoebe Putney Memorial Hosp,GA,186,187,"Albany, GA",Medical
PHOSMGA,Phoebe Sumter Med Ctr,GA,185,192,"Americus, GA",Medical
PHOHOLD,Phoenix Dist Office,AZ,0,197,"Phoenix, AZ",Hold
BOPPHX,Phoenix Fed.Corr.Inst.,AZ,64,191,"Phoenix, AZ",Federal
PICKJOH,Pickaway County Jail,OH,88,89,"Circleville, OH",Non-dedicated
PCKNSAL,Pickens County Det Ctr,AL,142,197,"Carrollton, AL",Non-dedicated
PMREGVA,Piedmont Reg Jail,VA,0,186,"Farmville, VA",Non-dedicated
PCRMMGA,Piedmount Columbus Reg Midtown MC,GA,183,188,"Columbus, GA",Medical
PIERCND,Pierce County Jail,ND,110,195,"Rugby, ND",Other
PKEHOLD,Pike County ERO Hold Room,PA,94,197,"Hawley, PA",Hold
PKCNTPA,Pike County Jail,PA,161,164,"Lords Valley, PA",Non-dedicated
PIKCOPA,Pike County Jail,PA,0,197,"Lords Valley, PA",Non-dedicated
PIMAJAZ,Pima County Jail,AZ,35,184,"Tucson, AZ",Non-dedicated
PINALAZ,Pinal County Jail,AZ,0,197,"Florence, AZ",Non-dedicated
ILPICKN,Pinckneyville Correctional Center,IL,89,90,"Pinckneyville, IL",Other
PINEPLA,Pine Prairie ICE Processing Center,LA,87,197,"Pine Prairie, LA",Dedicated
PINELFL,Pinellas County Jail,FL,0,197,"Clearwater, FL",Federal
PISCAME,Piscataguis County Jail,ME,0,69,"Dover-Foxcroft, ME",Federal
PITHOLD,Pittsburgh Holdroom,PA,87,197,"Pittsburgh, PA",Hold
PLATTMO,Platte County Jail,MO,0,145,"Platte City, MO",Non-dedicated
PLATTWY,Platte County Jail,WY,0,197,"Wheatland, WY",Federal
