code,latitude,longitude,N,size,N_min,N_max
NAVSOAZ,34.87,-110.156,0.0,2.0,0.3,0.3
NIAGANY,43.18,-78.737,3.065,2.0,1.065,3.065
NIOBRWY,42.761,-104.451,0.0,2.0,0.065,0.065
NOBLEMN,43.648,-95.59,0.0,2.0,0.133,0.133
NOJUVOR,45.613,-121.201,8.0,2.0,8.0,9.129
NOLVGNV,36.202,-115.119,140.194,6.0,139.484,151.833
NORCOOR,45.613,-121.201,6.387,2.0,6.387,17.935
NORFOMA,42.26,-71.209,50.839,3.5,50.839,57.467
NWREGVA,39.199,-78.144,0.0,2.0,21.129,21.129
NYCHOLD,40.634,-73.931,18.516,3.5,17.267,22.871
OAK,30.832,-92.637,1.0,2.0,1.0,1.0
OAKHOLD,30.831,-92.65,0.0,2.0,0.129,0.129
OKANOWA,48.365,-119.582,0.032,2.0,0.032,1.167
OMAHOLD,41.282,-95.899,0.097,2.0,0.033,1.548
ONECONY,43.156,-75.377,0.419,2.0,0.133,1.097
ONONDNY,43.046,-76.146,11.29,3.5,11.258,12.133
ONTARNY,42.881,-77.213,5.29,2.0,5.29,5.839
ORANGFL,28.506,-81.414,6.129,2.0,2.967,6.129
ORANGNY,41.405,-74.359,98.71,3.5,98.71,108.419
ORLHOLD,28.428,-81.333,1.0,2.0,1.0,1.0
ORPARLA,29.959,-90.094,69.677,3.5,48.29,69.677
OTERONM,32.901,-105.96,0.0,2.0,0.032,0.567
OTROPNM,32.079,-106.278,0.0,2.0,0.032,0.032
OTRPCNM,32.08,-106.282,903.355,9.0,870.633,903.355
PALMBFL,26.67,-80.093,25.129,3.5,24.467,26.871
PAMREVA,37.76,-77.354,27.774,3.5,22.667,69.387
PARKCWY,44.526,-109.066,0.032,2.0,0.032,0.032
PARKJCO,39.224,-105.989,166.258,6.0,113.581,166.258
PASADCA,34.149,-118.145,29.161,3.5,22.1,42.484
PEMBIND,48.791,-97.626,0.0,2.0,0.033,0.033
PENDOWA,48.178,-117.059,0.129,2.0,0.129,0.129
PENNISD,44.079,-103.222,1.419,2.0,1.161,2.967
PENOBME,44.802,-68.773,0.677,2.0,0.161,0.677
PERRYAL,32.45,-87.492,386.548,6.0,322.839,386.548
PHELPNE,40.44,-99.371,28.097,3.5,28.097,38.133
PHIHOLD,39.96,-75.166,4.871,2.0,4.871,9.0
PHOHOLD,33.471,-112.073,81.194,3.5,80.167,92.097
PIC,26.155,-97.338,719.71,9.0,325.419,719.71
PIKCOPA,41.389,-75.071,142.548,6.0,129.7,142.548
PINALAZ,33.041,-111.376,566.645,9.0,537.967,566.645
PINELFL,27.903,-82.705,2.032,2.0,1.2,2.032
PISCAME,45.183,-69.224,0.516,2.0,0.226,0.833
PLATTMO,39.371,-94.78,1.355,2.0,1.355,8.133
PLATTWY,42.056,-104.952,1.774,2.0,0.452,1.774
PLYMOMA,41.931,-70.651,312.161,6.0,312.161,323.452
PMHOSFL,25.886,-80.326,1.484,2.0,0.29,1.484
PMREGVA,37.324,-78.429,282.677,6.0,282.677,312.645
POLKCTX,30.698,-95.006,844.065,9.0,802.871,862.067
POLKJIA,41.654,-93.588,45.903,3.5,43.167,48.29
POMONCA,34.054,-117.754,1.677,2.0,1.677,8.516
POOHOLD,45.515,-122.676,6.387,2.0,4.806,7.033
