detention_facility_code,name,state,type_detailed,start,end,place
SUFFONY,Suffolk Co.Correc Fac,NY,USMS IGA,109,122,"Riverhead, NY"
SUFFOMA,Suffolk Hoc Sbay,MA,IGSA,0,133,"Boston, MA"
SUMMIUT,Summit County Jail,UT,IGSA,0,4,"Park City, UT"
SUMTEFL,Sumter County Jail,FL,UNKNOWN,0,196,"Bushnell, FL"
SUNNYWA,Sunnyside Jail,WA,IGSA,0,196,"Sunnyside, WA"
SUPHDTX,Super 8 By Wyndham,TX,HOTEL,151,153,"Hidalgo, TX"
SP8WWTX,Super 8 Wyndham Weslaco,TX,HOTEL,151,152,"Weslaco, TX"
SSHBWTX,Surestay Hotel Best West,TX,HOTEL,143,151,"Mission, TX"
SUSSEDE,"Sussex Co Pris,Geotwn,DE",DE,IGSA,0,196,"Georgetown, DE"
SUSSENJ,Sussex County Jail,NJ,IGSA,0,56,"Newton, NJ"
SUWANFL,Suwannee County Jail,FL,UNKNOWN,0,196,"Live Oak, FL"
SWEETWY,Sweetwater County Jail,WY,USMS IGA,0,196,"Rock Springs, WY"
SYRHOLD,Syracuse Hold Room,NY,HOLD,0,196,"N Syracuse, NY"
CCAHUTX,T Don Hutto Residential Center,TX,DIGSA / FAMILY,0,196,"Taylor, TX"
THHEBTX,TX Health Meth Hosp Heb,TX,HOSPITAL,0,196,"Bedford, TX"
THHMHTX,TX Hlth Harris Meth Hosp,TX,HOSPITAL,0,196,"Fort Woth, TX"
TACGHWA,Tacoma General Hospital,WA,HOSPITAL,0,196,"Tacoma, WA"
TALHOLD,Tallahassee Hold Room,FL,HOLD,89,196,"Tallahassee, FL"
TALLAMS,Tallahatchie Co Corr Facility,MS,USMS IGA,118,136,"Tutwiler, MS"
TAMHOLD,Tampa Hold Room,FL,HOLD,31,196,"Tampa, FL"
MATSHOS,Taunton State Hospital,MA,HOSPITAL,1,16,"Taunton, MA"
TAYLOTX,Taylor County Adult Det.,TX,IGSA,0,196,"Abilene, TX"
TELLECO,Teller County Jail,CO,IGSA,0,183,"Divide, CO"
TEMPLCA,Temple Medical,CA,HOSPITAL,21,60,"Los Angeles, CA"
TENSALA,Tensas Parish Det. Cntr.,LA,IGSA,0,89,"Waterproof, LA"
BOPTHA,Terre Haute USP,IN,BOP,0,107,"Terre Haute, IN"
TETONWY,Teton County Detention Center,WY,USMS IGA,0,105,"Jackson, WY"
MATEWKS,Tewksbury State Hospital,MA,HOSPITAL,4,5,"Tewksbury, MA"
THHHBTX,Tex Health Huguley Hosp,TX,HOSPITAL,143,144,"Burleson, TX"
TXAHOLD,Texarkana Holdroom,TX,HOLD,188,188,"Texarkana, TX"
TVMSATX,Texas Vista Medical Center,TX,HOSPITAL,168,174,"San Antonio, TX"
TLACYCA,Theo Lacy Facility,CA,IGSA,23,130,"Orange, CA"
THPSCTX,Thop Sierra Campus Elp,TX,OTHER,0,196,"El Paso, TX"
BOPTRV,Three Rivers FCI,TX,BOP,0,196,"Three Rivers,, TX"
TIOGANY,Tioga County Jail,NY,IGSA,0,196,"Owego, NY"
TITUSTX,Titus County Jail,TX,USMS IGA,123,196,"Mt. Pleasant, TX"
TGREETX,Tom Green Cty Jail,TX,USMS IGA,94,161,"San Angelo, TX"
TOOELUT,Tooele County Jail,UT,USMS IGA,98,175,"Tooele, UT"
TOOLEMT,Toole County Jail,MT,IGSA,1,28,"Shelby, MT"
TORHOLD,Tornillo Adult Hold Room,TX,HOLD,130,135,"Tornillo, TX"
TOORANM,"Torrance/Estancia, NM",NM,IGSA,0,196,"Estancia, NM"
TRVLIAZ,Traveler's Inn - Phoenix,AZ,HOTEL,0,196,"Phoenix, AZ"
TRAVITX,Travis County Jail,TX,IGSA,0,196,"Austin, TX"
TRICOIL,Tri-County Jail,IL,IGSA,0,90,"Ullin, IL"
TRRMCNJ,Trinitas Regional Med Ctr,NJ,HOSPITAL,176,194,"Elizabeth, NJ"
