detention_facility_code,name,state,type_detailed,start,end,place
DODGEWI,"Dodge County Jail, Juneau",WI,USMS IGA,0,196,"Juneau, WI"
DONAANM,Dona Ana County Detention Facility,NM,IGSA,98,100,"Las Cruces, NM"
DORCHMD,Dorchester Co Det Cntr,MD,IGSA,0,168,"Cambridge, MD"
DORCDSC,Dorchester Co Det Ctr,SC,USMS IGA,182,194,"Summerville, SC"
DOUGLOR,Douglas Co. Jail,OR,IGSA,0,196,"Roseburg, OR"
DOUGLWI,Douglas Co. Wisconsin,WI,IGSA,104,196,"Superior, WI"
DOCORNE,Douglas County Correction,NE,IGSA,0,159,"Omaha, NE"
DOUGLCO,Douglas County Detention Center,CO,IGSA,0,161,"Castle Rock, CO"
DVDHOLD,Dover Holdroom,DE,HOLD,4,196,"Dover, DE"
DRURYCO,Drury Inn,CO,HOTEL,53,55,"Denver, CO"
DISSATX,Drury Inn & Stes SNA Ap,TX,HOTEL,143,162,"San Antonio, TX"
DISPTAZ,Drury Inn Stes Pho Tempe,AZ,HOTEL,144,146,"Tempe, AZ"
DULHOLD,Duluth Hold Room,MN,HOLD,0,196,"Duluth, MN"
DUPAGIL,Dupage County Jail,IL,IGSA,0,196,"Wheaton, IL"
DURHOLD,Durango Holdroom,CO,HOLD,0,196,"Durango, CO"
DUTCHAK,Dutch Harbor City Jail,AK,IGSA,0,196,"Unalaska, AK"
DUVALFL,Duval/Jacksonville Jail,FL,IGSA,1,11,"Jacksonville, FL"
EAGLECO,Eagle County Jail,CO,IGSA,19,50,"Eagle, CO"
EHDLGTX,East Hidalgo Detention Center,TX,USMS IGA,30,196,"La Villa, TX"
EMESACA,East Mesa Detent Facility,CA,IGSA,80,81,"San Diego, CA"
NYEASTC,Eastern C.F. Napanoch,NY,UNKNOWN,0,196,"Napanoch, NY"
WVEASTR,Eastern Regional Jail,WV,USMS IGA,9,132,"Martinsburg, WV"
ECOLOWA,Econolodge Motel,WA,HOTEL,5,136,"Tukwila, WA"
ECTORTX,Ector County Correction Center,TX,IGSA,1,21,"Odessa, TX"
ECLECTX,Ector County L.E.C.,TX,OTHER,0,196,"Odessa, TX"
EFMHMFL,Ed Fraser Memorial Hospital,FL,HOSPITAL,0,196,"Macclenny, FL"
EDDCONM,Eddy County Jail,NM,IGSA,0,196,"Carlsbad, NM"
EDENDTX,Eden Det Center,TX,BOP,0,196,"Eden, TX"
EDNHOLD,Eden Det Ctr Hold Room,TX,HOLD,171,172,"Eden, TX"
EDNDCTX,Eden Detention Ctr,TX,UNKNOWN,130,196,"Eden, TX"
EDCHOLD,Eden Hold Room,TX,HOLD,55,86,"Eden, TX"
EDNBGTX,Edinburg Police Dept.,TX,UNKNOWN,0,196,"Edinburg, TX"
ECRMCCA,El Centro Regional Med Ctr,CA,HOSPITAL,189,190,"El Centro, CA"
ECC,El Centro SPC,CA,SPC,0,72,"El Centro, CA"
EPBHSTX,El Paso Behavioral Health System,TX,HOSPITAL,120,196,"El Paso, TX"
EPCDFTX,El Paso County Detention Facility,TX,UNKNOWN,186,195,"El Paso, TX"
ELPASCO,El Paso County Jail (CO),CO,IGSA,0,113,"Colorado Springs, CO"
ELPCOTX,El Paso County Jail (TX),TX,IGSA,186,188,"El Paso, TX"
EPLTATX,El Paso LTAC Hospital,TX,HOSPITAL,134,193,"El Paso, TX"
EPC,El Paso SPC,TX,SPC,0,196,"El Paso, TX"
EPCJUVI,El Paso SPC Juvenile,TX,HOLD,16,144,"El Paso, TX"
ELVDFTX,El Valle Detention Facility,TX,IGSA,118,196,"Raymondville, TX"
ELBERCO,Elbert County Jail,CO,IGSA,0,196,"Kiowa, CO"
ELGPDIL,Elgin Police Dept. Jail,IL,IGSA,0,107,"Elgin, IL"
ELZICDF,Elizabeth Contract D.F.,NJ,CDF,0,196,"Elizabeth, NJ"
ELKHAIN,Elkhart County Jail,IN,OTHER,135,135,"Elkhart, IN"
ELMORID,Elmore County Jail,ID,USMS IGA,9,192,"Mountain Home, ID"
EAZ,Eloy Federal Contract Fac,AZ,DIGSA,0,196,"Eloy, AZ"
BOEHOLD,Elp Boeing Dr Holdroom,TX,HOLD,0,125,"El Paso, TX"
ESHSATX,Embassy Ste Hltn NW I-10,TX,HOTEL,0,196,"San Antonio, TX"
EMBSATX,Embassy Ste Hltn SNA Ap,TX,HOTEL,0,196,"San Antonio, TX"
EMBCRNC,Embassy Suites By Hilton,NC,HOTEL,0,196,"Cary, NC"
EMBSYCO,Embassy Suites Hotel,CO,HOTEL,0,196,"Denver, CO"
ENLMCCA,Enloe Medical Center,CA,HOSPITAL,0,196,"Chico, CA"
EIRHONY,Erie Co Holding Center,NY,HOLD,0,196,"Buffalo, NY"
ERICONY,Erie County Holding Center,NY,HOLD,1,1,"Buffalo, NY"
ERICOPA,"Erie County Jail, PA",PA,USMS IGA,0,196,"Erie, PA"
ECMCBNY,Erie County Medical Center,NY,HOSPITAL,0,196,"Buffalo, NY"
ESSEXMA,"Essex Co. Jail, Middleton",MA,IGSA,0,10,"Middleton, MA"
ESSEXNJ,Essex County Jail,NJ,IGSA,0,184,"Newark, NJ"
ESSEXNY,Essex County Jail,NY,IGSA,13,31,"Lewis, NY"
ETOWAAL,Etowah County Jail (AL),AL,USMS IGA,0,163,"Gadsden, AL"
ETWHOLD,Etowah ERO Hold Room,AL,HOLD,33,130,"Gadsden, AL"
EUGHOLD,Eugene Holdroom,OR,HOLD,15,196,"Eugene, OR"
EULESTX,Euless City Jail,TX,IGSA,0,160,"Euless, TX"
EXTSAAZ,Extended Stay America,AZ,HOTEL,0,196,AZ
ESAPAAZ,Extended Stay America Pho Ap,AZ,HOTEL,0,196,"Phoenix, AZ"
BOPGIL,FCI Gilmer,WV,BOP,0,196,"Glenville, WV"
BOPVIM,FCI Victorville,CA,BOP,116,120,"Victorville, CA"
BOPPHL,FDC Philadelphia,PA,BOP,0,196,"Philadelphia, PA"
FCLT8CA,Facility 8 Detention Facility,CA,UNKNOWN,123,136,"San Diego, CA"
AKFAIRB,Fairbanks Corr Ctr,AK,IGSA,5,6,"Fairbanks, AK"
FAICOVA,Fairfax Co Jail,VA,USMS IGA,12,51,"Fairfax, VA"
FXADCVA,Fairfax Co. Adult Detention Center,VA,IGSA,98,116,"Fairfax, VA"
FRFLDWY,Fairfield Inn & Suites,WY,HOTEL,0,196,"Cheyenne, WY"
BOPFAI,Fairton FCI,NJ,BOP,117,117,"Fairton, NJ"
FAULKSD,Faulk County Jail,SD,IGSA,0,196,"Faulkton, SD"
FAULKAR,Faulkner County Jail,AR,IGSA,0,4,"Conway, AR"
FAYETKY,Fayette County Detention Center,KY,USMS IGA,77,196,"Lexington, KY"
FAYHOLD,Fayetteville Hold Room,AR,HOLD,17,196,"Fayetteville, AR"
FDLHOLD,Ferndale Hold Room,WA,HOLD,176,196,"Ferndale, WA"
FERRYWA,Ferry County Jail,WA,IGSA,0,196,"Republic, WA"
FINNEKS,Finney County Jail,KS,IGSA,142,196,"Garden City, KS"
NYFISHC,Fishkill C.F. Beacon Ny,NY,OTHER,125,125,"Beacon, NY"
FLGLRFL,Flagler County Jail,FL,UNKNOWN,0,196,"Bunnel, FL"
FLATHMT,Flathead County Jail,MT,IGSA,0,196,"Kalispell, MT"
FLORHAZ,Florence Hospital,AZ,HOSPITAL,173,196,"Florence, AZ"
FLO,Florence SPC,AZ,SPC,0,196,"Florence, AZ"
FSF,Florence Staging Facility,AZ,STAGING,0,196,"Florence, AZ"
FLSPSTA,"Florida St. Pris.,Starke",FL,UNKNOWN,0,196,"Raiford, FL"
FLOYDGA,Floyd County Jail,GA,USMS IGA,132,196,"Rome, GA"
FIPCMGA,Folkston Main IPC,GA,DIGSA,120,196,"Folkston, GA"
FNDDUWI,Fond Du Lac County Sheriff/Jail,WI,UNKNOWN,0,196,"Fond Du Lac, WI"
FORSYNC,Forsyth County Jail,NC,USMS IGA,0,125,"Winston-Salem, NC"
FLHOSFL,Fort Lauderdale Hospital,FL,HOSPITAL,110,128,"Fort Lauderdale, FL"
FMYHOLD,Fort Myers ERO Holdroom,FL,HOLD,100,196,"Fort Myers, FL"
FSAHOLD,Fort Smith Holdroom,AR,HOLD,0,196,"Fort Smith, AR"
FPSSAWA,Four Pts Sheraton Sea Ap,WA,HOTEL,0,196,"Des Moines, WA"
FRANKWA,Franklin County,WA,IGSA,0,196,"Pasco, WA"
FRACOVT,"Franklin County Jail, VT",VT,IGSA,0,12,"Saint Albans, VT"
GREENMA,Franklin House of Corrections,MA,USMS IGA,0,151,"Greenfield, MA"
FREDEMD,Frederick County Det. Cen,MD,IGSA,0,139,"Frederick, MD"
FCOHOLD,Frederick Holdroom,CO,HOLD,0,196,"Frederick, CO"
FRDHOLD,Frederick Holdroom,CO,HOLD,87,196,"Frederick, CO"
FREEBMN,"Freeborn County Jail, MN",MN,IGSA,4,196,"Albert Lea, MN"
FREESTX,Freestone County Jail,TX,IGSA,0,196,"Fairfield, TX"
FREMOCO,"Fremont County Jail, CO",CO,IGSA,1,67,"Canon City, CO"
FREMOWY,"Fremont County Jail, WY",WY,IGSA,0,196,"Lander, WY"
FRECOCA,Fresno County Jail,CA,IGSA,0,196,"Fresno, CA"
FREHOLD,Fresno Holdroom,CA,HOLD,0,196,"Fresno, CA"
FRIOCTX,Frio County Jail,TX,IGSA,0,196,"Pearsall, TX"
FRIRHTX,Frio Regional Hospital,TX,HOSPITAL,173,189,"Pearsall, TX"
FLBHCFL,Ft Lauderdale Behavor Hlth Ctr,FL,HOSPITAL,129,196,"Oakland Park, FL"
GALLAMT,Gallatin County Jail,MT,IGSA,0,196,"Bozeman, MT"
GCPFCKS,Garden City Processing @ Finney Co,KS,UNKNOWN,0,196,"Garden City, KS"
GARVIOK,Garvin County Jail,OK,IGSA,0,196,"Pauls Valley, OK"
GASTNNC,Gaston County Jail,NC,IGSA,0,196,"Gastonia, NC"
GEAUGOH,Geauga County Jail,OH,USMS IGA,35,196,"Chardon, OH"
GSMCDPA,Geisinger Medical Center,PA,HOSPITAL,0,196,"Danville, PA"
GENESNY,Genesee County Jail,NY,USMS IGA,1,37,"Batavia, NY"
BAILECA,George Bailey Detent Faci,CA,IGSA,36,37,"San Diego, CA"
IAHSFTX,George Bush Intercontinental,TX,STAGING,70,81,"Houston, TX"
GRGBVTX,Georgetown Behavioral Hospital,TX,HOSPITAL,0,196,"Georgetown, TX"
GIJUVAZ,Gila County Juvenile Det Center,AZ,JUVENILE,0,196,"Globe, AZ"
GLADEFL,Glades County Detention Center,FL,IGSA,0,162,"Moore Haven, FL"
GLEPDCA,Glendale Police Dept,CA,IGSA,0,136,"Glendale, CA"
GSCHOLD,Glenwood Springs Holdroom,CO,HOLD,25,137,"Glenwood Springs, CO"
GLOUCNJ,Gloucester County Jail,NJ,IGSA,0,196,"Woodbury, NJ"
GLDSACA,Golden State Annex,CA,CDF,144,196,"Mcfarland, CA"
GSAMHCA,Good Samaritan Hospital,CA,HOSPITAL,0,196,"San Jose, CA"
GOODCID,Gooding County Jail,ID,UNKNOWN,0,196,"Gooding, ID"
AKGSCCC,Goose Creek Correctional Center,AK,UNKNOWN,0,196,"Wasilla, AK"
GOSHEWY,Goshen County Jail,WY,IGSA,0,196,"Torrington, WY"
GCLECOK,Grady County Law Enforcement Ctr,OK,UNKNOWN,117,119,"Chickasha, OK"
GMHATGA,Grady Memorial Hospital,GA,HOSPITAL,0,196,"Atlanta, GA"
GRAHAAZ,Graham Co Jail Safford AZ,AZ,UNKNOWN,0,196,"Safford, AZ"
GFJUVND,Grand Forks Co. Juvenile,ND,JUVENILE,0,196,"Grand Forks, ND"
GFCORND,Grand Forks County Correc,ND,IGSA,0,196,"Grand Forks, ND"
GRFHOLD,Grand Forks Hold Room,ND,HOLD,81,181,"Grand Forks, ND"
GRIHOLD,Grand Island Hold Room,NE,HOLD,28,57,"Grand Island, NE"
GJCHOLD,Grand Junction Holdroom,CO,HOLD,25,196,"Grand Junction, CO"
GRMHOLD,Grand Rapids Holdroom,MI,HOLD,73,164,"Grand Rapids, MI"
GRANTWA,Grant County,WA,IGSA,0,3,"Ephrata, WA"
GRANTOR,Grant County Jail,OR,IGSA,0,196,"Canyon City, OR"
GRYDCKY,Grayson County Det Center (Female),KY,USMS IGA,32,53,"Leitchfield, KY"
GRAYSKY,Grayson County Detention Center,KY,USMS IGA,1,196,"Leitchfield, KY"
NYGREAC,Great Meadow C.F.,NY,UNKNOWN,0,196,"Comstock, NY"
GPCHOLD,Great Plains CI Holdroom,OK,HOLD,129,130,"Hinton, OK"
GREENMO,Greene County Jail,MO,IGSA,0,196,"Springfield, MO"
HOUGTTX,Greentree Inn Houston IAH Airport,TX,HOTEL,0,196,"Houston, TX"
GRRHOLD,Greer Hold Room,SC,HOLD,75,196,"Greer, SC"
NYGROVC,Groveland C.F. Sonyea,NY,UNKNOWN,0,196,"Sonyea, NY"
GUADATX,Guadalupe Cty Jail,TX,IGSA,2,3,"Seguin, TX"
BOPGUA,Guaynabo MDC (San Juan),PR,BOP,0,196,"San Juan, PR"
GWINNGA,Gwinnett County Jail,GA,IGSA,0,196,"Lawrenceville, GA"
HCAFMFL,HCA Florida Memorial Hospital,FL,HOSPITAL,0,196,"Jacksonville, FL"
HCAHCTX,HCA Houston Hc Conroe,TX,HOSPITAL,173,196,"Conroe, TX"
HACMCNJ,Hackensack Med Ctr,NJ,HOSPITAL,0,196,"Hackensack, NJ"
HAILEID,Haile Det. Center,ID,IGSA,0,182,"Caldwell, ID"
HALLJGA,Hall Co Jail,GA,USMS IGA,0,128,"Gainesville, GA"
HASHENE,Hall County Sheriff,NE,IGSA,3,183,"Grand Island, NE"
HAMILTX,Hamilton County Jail (TX),TX,UNKNOWN,0,196,"Hamilton, TX"
HAMPDMA,Hampden Co.House Of Corr.,MA,IGSA,0,196,"Ludlow, MA"
HISAXLA,Hampton Inn & Stes Alexandria,LA,HOTEL,0,196,"Alexandria, LA"
HISEPTX,Hampton Inn & Stes Elp Ap,TX,HOTEL,138,141,"El Paso, TX"
HISMCTX,Hampton Inn & Stes Mcallen,TX,HOTEL,139,142,"Mcallen, TX"
HAMPITX,Hampton Inn Pearsall,TX,FAMILY STAGING,0,196,"Pearsall, TX"
HIPANAZ,Hampton Inn Pho Airport N,AZ,HOTEL,139,142,"Phoenix, AZ"
HRREGVA,Hampton Roads Regional Jail,VA,USMS IGA,0,66,"Portsmouth, VA"
HCPSCMS,Hancock Co Pub Sfty Cplx,MS,IGSA,140,196,"Bay St. Louis, MS"
HAVMCWA,Harborview Medical Center,WA,HOSPITAL,0,196,"Seattle, WA"
HARDEFL,Hardee County Jail,FL,UNKNOWN,0,196,"Wauchula, FL"
HARDJIA,Hardin Co Jail,IA,IGSA,0,155,"Eldora, IA"
HLGHOLD,Harlingen Hold Room,TX,HOLD,17,196,"Harlingen, TX"
HMCHOTX,Harlingen Medical Center,TX,HOSPITAL,1,164,"Harlingen, TX"
HRLGNTX,Harlingen Police Dept.,TX,UNKNOWN,188,188,"Harlingen, TX"
HSF,Harlingen Staging Facility,TX,STAGING,0,31,"Harlingen, TX"
HARRIGA,Harris County Jail,GA,IGSA,0,196,"Hamilton, GA"
HCPSYTX,Harris County Psychiatric Center,TX,HOSPITAL,97,196,"Houston, TX"
HHBTHTX,Harris Health Ben Taub Hospital,TX,HOSPITAL,189,190,"Houston, TX"
LBJHSTX,Harris Health LBJ Hospital,TX,HOSPITAL,0,196,"Houson, TX"
HBGHOLD,Harrisonburg Hold Room,VA,HOLD,33,196,"Harrisonburg, VA"
HARFOCT,Hartford Corr Center,CT,IGSA,0,196,"Hartford, CT"
HARHOLD,Hartford Office,CT,HOLD,4,196,"Hartford, CT"
HASMHTX,Haskell Memorial Hospital,TX,HOSPITAL,0,196,"Haskell, TX"
HSELPTX,Hawthorn Stes El Paso Airp,TX,HOTEL,0,196,"El Paso, TX"
HACTCND,Heart Of America Corr,ND,UNKNOWN,0,196,"Rugby, ND"
HELHOLD,Hel District Custody,MT,HOLD,102,133,"Helena, MT"
HENDENC,Henderson County Det. Fac.,NC,IGSA,0,75,"Hendersonville, NC"
HENDETX,Henderson County Jail,TX,IGSA,132,148,"Athens, TX"
HENDENV,Henderson Detention,NV,USMS IGA,29,196,"Henderson, NV"
HDHSPNV,Henderson Hospital,NV,HOSPITAL,0,196,"Henderson, NV"
HENHOLD,Hendersonville Hold Room,NC,HOLD,114,115,"Hendersonville, NC"
HNDMCTX,Hendrick Medical Center,TX,HOSPITAL,151,153,"Abilene, TX"
HENDRFL,Hendry County Jail,FL,IGSA,0,196,"Labelle, FL"
HNYHOMI,Henry Ford Hospital,MI,HOSPITAL,190,190,"Detroit, MI"
HNRMCFL,Henry Regional Medical Center,FL,HOSPITAL,140,141,"Clewiston, FL"
HERNAFL,Hernando County Jail,FL,IGSA,0,13,"Brooksville, FL"
HIDALNM,Hidalgo County Detention Center,NM,IGSA,79,100,"Lordsburg, NM"
HIDALTX,Hidalgo County Jail,TX,IGSA,50,143,"Edinburg, TX"
HDLGOTX,Hidalgo Police Dept.,TX,UNKNOWN,0,196,"Hidalgo, TX"
AKHIGHL,Highland Mtn Cor Ctr,AK,USMS IGA,1,43,"Eagle River, AK"
HGHBECO,Highlands Behavioral Health,CO,HOSPITAL,0,196,"Littleton, CO"
HILLCMT,Hill County Justice Center,MT,USMS IGA,2,45,"Havre, MT"
HICOJFL,Hillsborough County Jail,FL,IGSA,4,5,"Tampa, FL"
HOKLYTX,Hockley County Jail,TX,IGSA,0,196,"Levelland, TX"
HISPAAZ,Holiday Inn & Ste Pho Ap,AZ,HOTEL,143,149,"Phoenix, AZ"
HIESPAZ,Holiday Inn Exp Phoenix,AZ,HOTEL,145,146,"Phoenix, AZ"
HOLIETX,Holiday Inn Exp SNA Ap,TX,HOTEL,0,196,"San Antonio, TX"
HIESATX,Holiday Inn Exp San Antonio,TX,HOTEL,143,143,"San Antonio, TX"
HIEXSTX,Holiday Inn Expr & Stes Pearsall,TX,HOTEL,150,154,"Pearsall, TX"
HIRAYTX,Holiday Inn Express & Suites,TX,HOTEL,0,196,TX
HIELPTX,Holiday Inn Express & Suites,TX,HOTEL,150,151,"El Paso, TX"
HESPCAZ,Holiday Inn Express Casa De La Luz,AZ,FAMILY STAGING,151,159,"Phoenix, AZ"
HIPDBAZ,Holiday Inn Pho Dwtn Ballpark,AZ,HOTEL,145,145,"Phoenix, AZ"
HISDBCA,Holiday Inn SND Bayside,CA,HOTEL,0,196,"San Diego, CA"
HLYCHIL,Holy Cross Hospital,IL,HOSPITAL,0,196,"Chicago, IL"
BOPHON,Honolulu Federal Detention Center,HI,BOP,0,196,"Honolulu, HI"
HOSPSPR,Hospital Pavia-Santurce,PR,HOSPITAL,0,196,"San Juan, PR"
HAVACTX,Hotel Ava Casa Do Tranquilidade,TX,FAMILY STAGING,157,162,"Laredo, TX"
HTLPPTX,Hotel Pharr Plaza,TX,HOTEL,143,148,"Pharr, TX"
HOUICDF,Houston Contract Det.Fac.,TX,CDF,0,196,"Houston, TX"
HOUHOLD,Houston FO Holdroom,TX,HOLD,0,196,"Houston, TX"
HHCHKTX,Houston Healthcare Hosp,TX,HOSPITAL,184,196,"Houston, TX"
HOWARMD,Howard County Det Cntr,MD,IGSA,0,152,"Jessup, MD"
HUDSONJ,Hudson County Jail,NJ,IGSA,0,157,"Kearny, NJ"
HUDSPTX,Hudspeth County Jail,TX,IGSA,0,196,"Sierra Blanca, TX"
HUNMHTX,Huntsville Memorial Hospital,TX,HOSPITAL,181,181,"Huntsville, TX"
TXHUNTS,Huntsville State P.,TX,IGSA,0,196,"Huntsville, TX"
POLKCTX,IAH Secure Adult Det. Facility,TX,IGSA,0,196,"Livingston, TX"
FRMVLVA,ICA - Farmville,VA,DIGSA,23,196,"Farmville, VA"
HHWHOLD,INS District Office,HI,HOLD,0,196,"Honolulu, HI"
IFIHOLD,Idaho Falls Hold Room,ID,HOLD,0,196,"Idaho Falls, ID"
IMPCOCA,Imperial County Jail,CA,IGSA,0,196,"El Centro, CA"
IRADFCA,Imperial Regional Adult Det Fac,CA,CDF,72,196,"Calexico, CA"
IMPHOLD,Imperial Sub Office Hold Room,CA,HOLD,165,196,"Calexico, CA"
INDCMIC,In Dept. Of Corrections,IN,UNKNOWN,0,196,"Indianapolis, IN"
INPHOLD,Indianapolis Hold Room,IN,HOLD,19,196,"Indianapolis, IN"
INDMPIN,Indianapolis Metropolitan PD,IN,UNKNOWN,0,196,"Indianapolis, IN"
INTPOOK,Integris Health Ponca City Hospita,OK,HOSPITAL,0,196,"Ponca City, OK"
CAIRONW,Ironwood State Prison,CA,UNKNOWN,0,196,"Blythe, CA"
IRWINGA,Irwin County Detention Center,GA,IGSA / USMS IGA,24,156,"Ocilla, GA"
JFKTSNY,JFK International Ap - T7,NY,OTHER,119,196,"Jamaica, NY"
GTMOACU,JTF Camp Six,CU,DOD,0,196,"FPO, CU"
JHRWLTX,Jack Harwell Detention Center,TX,USMS IGA,32,193,"Waco, TX"
JACKSOR,Jackson Co Jail,OR,USMS IGA,1,63,"Medford, OR"
JAJUVOR,Jackson County Juvenile,OR,JUVENILE,0,196,"Medford, OR"
JACKSTN,Jackson County Sheriff,TN,UNKNOWN,0,196,"Gainesboro, TN"
JAKHOLD,Jackson MS Hold Room,MS,HOLD,107,196,"Pearl, MS"
JMHOSFL,Jackson Memorial Hospital,FL,HOSPITAL,0,127,"Miami, FL"
JKPCCLA,Jackson Parish Correctional Center,LA,DIGSA,126,196,"Jonesboro, LA"
JAXHOLD,Jacksonville Sub-Office,FL,HOLD,0,196,"Jacksonville, FL"
JHMCJNY,Jamaica Hospital Med Ctr,NY,HOSPITAL,0,196,"Richmond Hill, NY"
MUSIKCA,James A Musick Facility,CA,IGSA,23,129,"Irvine, CA"
JEFFETX,Jefferson County Jail,TX,IGSA,0,14,"Beaumont, TX"
JEFFEID,Jefferson County Jail,ID,IGSA,4,196,"Rigby, ID"
JEFFENY,Jefferson County Jail,NY,IGSA,0,196,"Watertown, NY"
JEFFEKS,Jefferson County Jail,KS,USMS IGA,2,2,"Oskaloosa, KS"
JEFFEIL,Jefferson County Jail,IL,IGSA,6,56,"Mount Vernon, IL"
JEFFECO,Jefferson County Jail,CO,IGSA,0,19,"Golden, CO"
JEFFEMT,Jefferson County Jail,MT,USMS IGA,0,59,"Boulder, MT"
JENNIMO,Jennings City Jail,MO,USMS IGA,6,19,"Jennings, MO"
JYCMCNJ,Jersey City Med Ctr,NJ,HOSPITAL,0,196,"Jersey City, NJ"
JCRLYTX,Joe Corley Processing Ctr,TX,IGSA,116,196,"Conroe, TX"
JOHNSTX,Johnson County Jail,TX,IGSA,5,150,"Cleburne, TX"
JOSEPOR,Josephine Co. Jail,OR,USMS IGA,0,116,"Grants Pass, OR"
KANDIMN,Kandiyohi Co. Jail,MN,IGSA,109,196,"Willmar, MN"
KANECIL,Kane County Jail,IL,UNKNOWN,0,196,"St Charles, IL"
KANKEIL,Kankakee County Jail,IL,USMS IGA,97,161,"Kankakee, IL"
KANHOLD,Kansas City Holdroom,MO,HOLD,25,189,"Kansas City, MO"
KCCDCTX,Karnes County Civil Det. Facility,TX,FAMILY,39,182,"Karnes City, TX"
KRNRCTX,Karnes County Residential Center,TX,FAMILY,70,196,"Karnes City, TX"
KARNETX,Karnes Cty Corr Ctr,TX,USMS IGA,0,196,"Karnes City, TX"
KCOJFOK,Kay Co Justice Facility,OK,IGSA,129,196,"Newkirk, OK"
KENOSWI,Kenosha County Jail,WI,USMS IGA,0,138,"Kenosha, WI"
KENTCMI,"Kent Co.,Grand Rapids,MI",MI,IGSA,51,124,"Grand Rapids, MI"
KENTHRI,Kent Hospital,RI,HOSPITAL,0,196,"Warwick, RI"
KERCOCA,Kern County Jail (Lerdo),CA,IGSA,0,66,"Bakersfield, CA"
KERNHCA,Kern Medical Hospital,CA,HOSPITAL,0,196,"Bakersfield, CA"
AKKETCH,Ketchikan Regional CC,AK,IGSA,0,196,"Ketchikan, AK"
KCHOSNY,Kings County Hospital,NY,HOSPITAL,40,116,"Brooklyn, NY"
KINNETX,Kinney County Jail,TX,IGSA,0,196,"Brackettville, TX"
KITTIWA,Kittitas County Jail,WA,IGSA,122,146,"Ellensburg, WA"
KLAMCOR,Klamath Co Jail,OR,IGSA,0,42,"Klamath Falls, OR"
KNXDFTN,Knox County Detention Facility,TN,USMS IGA,118,196,"Knoxville, TN"
KNXCHTX,Knox County Hospital,TX,HOSPITAL,0,196,"Knox City, TX"
KNXHOLD,Knoxville Hold Room,TN,HOLD,33,196,"Knoxville, TN"
KODIAAK,Kodiak City Jail,AK,IGSA,0,196,"Kodiak, AK"
KOOTEID,Kootenai County,ID,IGSA,0,196,"Coeur D'Alene, ID"
KROHOLD,Krome Hold Room,FL,HOLD,107,196,"Miami, FL"
KRO,Krome North SPC,FL,SPC,0,196,"Miami, FL"
KRHUBFL,Krome/Miami Hub,FL,HOLD,7,196,"Miami, FL"
LCIMCTX,La Copa Inn Hotel,TX,FAMILY STAGING,0,196,"South Padre Island, TX"
LAFERTX,La Feria Police Dept.,TX,UNKNOWN,0,196,"La Feria, TX"
LPAPSAZ,La Palma Corr Ctr Apso,AZ,DIGSA,126,165,"Eloy, AZ"
LPLCCAZ,La Palma Correctional Center,AZ,DIGSA,118,178,"Eloy, AZ"
LAPAZAZ,La Paz County Adult Det. Fac.,AZ,USMS IGA,63,196,"Parker, AZ"
LPZRHAZ,La Paz Regional Hospital,AZ,HOSPITAL,0,196,"Parker, AZ"
LAPLACO,La Plata County Jail,CO,USMS IGA,16,138,"Durango, CO"
LQSNATX,La Quinta Inn By Wyndham SNA,TX,HOTEL,151,154,"San Antonio, TX"
CSCLQTX,La Quinta Wyndham Casa De Paz,TX,FAMILY STAGING,152,159,"Pearsall, TX"
LQWCSTX,La Quinta Wyndham Casa Do Sonho,TX,FAMILY STAGING,156,162,"Cotulla, TX"
LSRDCTX,La Salle Co Regional Det. Center,TX,USMS IGA,33,147,"Encinal, TX"
BOPLTL,"La Tuna Federal Sattelite, Low",TX,BOP,117,120,"Anthony, TX"
LACKAPA,"Lackawana Cnty Jail, PA",PA,USMS IGA,0,26,"Scranton, PA"
CTLAFSL,Laffayette Sheriff's Lock,CT,HOLD,0,29,"Hartford, CT"
LHMCBMA,Lahey Hospital & Med Ctr,MA,HOSPITAL,0,196,"Burlington, MA"
LAKCOMT,Lake County Jail,MT,IGSA,0,196,"Polson, MT"
LAKCOFL,Lake County Jail,FL,UNKNOWN,0,196,"Tavares, FL"
LKLNDLA,Lakeland Nursing Home,LA,HOSPITAL,0,8,"Pineville, LA"
LAKMCFL,Lakeside Medical Center,FL,HOSPITAL,140,142,"Belle Glade, FL"
LANECOR,Lane Co Jail,OR,IGSA,0,5,"Eugene, OR"
LARCOWY,Laramie County Jail,WY,USMS IGA,1,21,"Cheyenne, WY"
LRDHOLD,Laredo Detention Center Hold Room,TX,HOLD,30,196,"Laredo, TX"
LRDMCTX,Laredo Medical Center,TX,HOSPITAL,186,196,"Laredo, TX"
LRDICDF,Laredo Processing Center,TX,DIGSA,0,196,"Laredo, TX"
LARIMCO,Larimer County Jail,CO,USMS IGA,1,28,"Fort Collins, CO"
LRKBHFL,Larkin Behavioral Health Svcs,FL,HOSPITAL,120,196,"Hollywood, FL"
LRKNHFL,Larkin Hospital,FL,HOSPITAL,6,196,"South Miami, FL"
LASANCO,Las Animas County Jail,CO,IGSA,0,196,"Trinidad, CO"
LASWOCA,Las Colinas Women Det Fac,CA,IGSA,0,196,"Santee, CA"
LASHOLD,Las Cruces Hold Room,NM,HOLD,179,194,"Las Cruces, NM"
LVGHOLD,Las Vegas Hold Room,NV,HOLD,1,196,"Las Vegas, NV"
